Model,Threshold,Recall,Precision,F1
XGBoostCalibrated,0.48,0.10414836505612494,0.5115052732502396,0.17305976806422838
XGBoostCalibrated,0.5,0.09389946315275745,0.5183189655172413,0.15899512436988678
XGBoostCalibrated,0.52,0.08452903855539287,0.5251667677380231,0.14561964015469986
XGBoostCalibrated,0.54,0.07652513421181063,0.5329707681849082,0.13383407306247866
XGBoostCalibrated,0.56,0.07037579306979014,0.5416979714500376,0.12456807187284036
XGBoostCalibrated,0.58,0.06451927769643728,0.5449299258037923,0.1153779019026008
XGBoostCalibrated,0.6,0.05856515373352855,0.5484460694698354,0.10582943822206543
XGBoostCalibratedTuned,0.2,0.4427525622254758,0.3256748994830557,0.3752947503412899
XGBoostCalibratedTuned,0.22,0.39463152757442654,0.34925708362128544,0.37056046927271896
XGBoostCalibratedTuned,0.24,0.38321132259638846,0.352930600503416,0.367448172586457
XGBoostCalibratedTuned,0.26,0.35998047828208884,0.3632781717888101,0.3616218071284993
XGBoostCalibratedTuned,0.28,0.3346022449975598,0.37703475582930046,0.3545534467600972
XGBoostCalibratedTuned,0.3,0.3105905319668131,0.38857003297105874,0.34523163719214495
XGBoostCalibratedTuned,0.32,0.2571986334797462,0.41191183367203377,0.31666866963105395
XGBoostCalibratedTuned,0.34,0.22430453879941434,0.42809239940387483,0.29437007621853584
XGBoostCalibratedTuned,0.36,0.1968765251342118,0.44290733421168205,0.2725859855395635
XGBoostCalibratedTuned,0.38,0.16876525134211812,0.4577707175006619,0.24661246612466126
XGBoostCalibratedTuned,0.4,0.15285505124450952,0.4671837708830549,0.23034492902846215
XGBoostCalibratedTuned,0.42,0.13684724255734504,0.4783350392357557,0.21281117182756526
XGBoostCalibratedTuned,0.44,0.1186920448999512,0.4931062449310625,0.19133034379671152
XGBoostCalibratedTuned,0.46,0.10405075646656906,0.514975845410628,0.17312220868859116
XGBoostCalibratedTuned,0.48,0.08677403611517813,0.5217136150234741,0.14879906268306972
XGBoostCalibratedTuned,0.5,0.07320644216691069,0.5357142857142857,0.12881064834693
XGBoostCalibratedTuned,0.52,0.06451927769643728,0.5435855263157895,0.11534770089869995
XGBoostCalibratedTuned,0.54,0.053879941434846264,0.5649948822927329,0.09837818570664765
XGBoostCalibratedTuned,0.56,0.04177647632991703,0.5815217391304348,0.07795282761132866
XGBoostCalibratedTuned,0.58,0.03191800878477306,0.615819209039548,0.060690423162583516
XGBoostCalibratedTuned,0.6,0.02157149829184968,0.655786350148368,0.04176904176904177
