Model,Threshold,Recall,Precision,F1,FPR
ExtraTreesTuned,0.26,0.7655352480417754,0.17185595048297853,0.28069772339977406,0.5943962978544384
ExtraTreesTuned,0.28,0.6675718015665796,0.1849858192973317,0.28969611819891683,0.47390828775767774
ExtraTreesTuned,0.3,0.575248041775457,0.20052424639580602,0.2973841211564938,0.36954143878838874
ExtraTreesTuned,0.32,0.48616187989556137,0.21543944092192346,0.2985696876403053,0.2852671434581405
ExtraTreesTuned,0.34,0.40375979112271543,0.2326533068544262,0.2952046426389737,0.21457299116533446
ExtraTreesTuned,0.36,0.3282506527415144,0.2508980601899896,0.2844086508008325,0.15791333613798905
ExtraTreesTuned,0.38,0.2616187989556136,0.2705475753321093,0.26600828289264095,0.1136558687421119
ExtraTreesTuned,0.4,0.20553524804177545,0.29307520476545046,0.2416206261510129,0.07988220445940261
ExtraTreesTuned,0.42,0.15279373368146215,0.3101547593809625,0.2047299188357123,0.05475809844341607
ExtraTreesTuned,0.44,0.11321148825065275,0.3357076494270672,0.16932208684786004,0.03609591922591502
ExtraTreesTuned,0.46,0.0818798955613577,0.3602941176470588,0.13343545230193174,0.023424484644509885
ExtraTreesTuned,0.48,0.05608355091383812,0.3729166666666667,0.09750340444847935,0.015195624737063526
ExtraTreesTuned,0.5,0.036971279373368145,0.38688524590163936,0.0674928503336511,0.00944047118216239
ExtraTreesTuned,0.52,0.024647519582245432,0.4267631103074141,0.04660347551342812,0.005334455195624737
ExtraTreesTuned,0.54,0.017859007832898174,0.4899713467048711,0.034461910519951636,0.0029953723180479595
ExtraTreesTuned,0.56,0.010548302872062662,0.505,0.020664961636828644,0.0016659655027345393
ExtraTreesTuned,0.58,0.006475195822454308,0.5166666666666667,0.012790097988653945,0.0009760201935212452
ExtraTreesTuned,0.6,0.003342036553524804,0.5161290322580645,0.006641070872678219,0.0005048380311316786
GradientBoosting,0.2,0.282088772845953,0.26988409272581937,0.27585150385538476,0.12296171644930584
GradientBoosting,0.22,0.227467362924282,0.29364972360792774,0.2563559322033898,0.08816154816996213
GradientBoosting,0.24,0.17827676240208878,0.312751923781605,0.22710037916583517,0.06312158182583089
GradientBoosting,0.26,0.14642297650130548,0.34345908868201863,0.20531595518781579,0.045098864114429954
GradientBoosting,0.28,0.11362924281984334,0.3609820836098208,0.17284931289220748,0.03241060159865376
GradientBoosting,0.3,0.08929503916449086,0.37565905096660807,0.14429162096025652,0.02391249474127051
GradientBoosting,0.32,0.07049608355091384,0.38637664567830565,0.1192368839427663,0.01803954564577198
GradientBoosting,0.34,0.05503916449086162,0.3995451099317665,0.09675050486506334,0.013327724021876314
GradientBoosting,0.36,0.04543080939947781,0.42730844793713163,0.08212970829793259,0.00981068573832562
GradientBoosting,0.38,0.036240208877284595,0.43375,0.06689156626506024,0.007623054270088346
GradientBoosting,0.4,0.027989556135770234,0.4444444444444444,0.05266260561996463,0.005637358014303744
GradientBoosting,0.42,0.021827676240208878,0.4613686534216336,0.04168328679696849,0.004106015986537652
GradientBoosting,0.44,0.017650130548302872,0.48424068767908307,0.034058847239016525,0.0030290281867900717
GradientBoosting,0.46,0.013890339425587468,0.49812734082397003,0.02702702702702703,0.0022549432057214977
GradientBoosting,0.48,0.010026109660574413,0.4873096446700508,0.019647973802701595,0.0016996213714766512
GradientBoosting,0.5,0.00762402088772846,0.4866666666666667,0.015012853470437019,0.0012957509465713083
GradientBoosting,0.52,0.006057441253263708,0.49572649572649574,0.011968633924886504,0.0009928481278923013
GradientBoosting,0.54,0.004281984334203655,0.5616438356164384,0.008499170812603648,0.0005384938998737905
GradientBoosting,0.56,0.0036553524804177544,0.6481481481481481,0.007269706096167826,0.0003197307530500631
GradientBoosting,0.58,0.0027154046997389034,0.65,0.005408216328653146,0.00023559108119478335
GradientBoosting,0.6,0.0020887728459530026,0.6666666666666666,0.004164497657470068,0.00016827934371055952
XGBoostCalibrated,0.2,0.2110704960835509,0.3010128090557045,0.24814291853398,0.07897349600336559
XGBoostCalibrated,0.22,0.16699738903394257,0.32612686110544564,0.22088686282635722,0.05559949516196887
XGBoostCalibrated,0.24,0.1314882506527415,0.3482710926694329,0.19090219863532978,0.03964661337820782
XGBoostCalibrated,0.26,0.10516971279373367,0.36778670562454346,0.1635669617477463,0.029129154396297853
XGBoostCalibrated,0.28,0.08532637075718015,0.38124125058329444,0.1394435910564943,0.022313840976020193
XGBoostCalibrated,0.3,0.06788511749347259,0.39441747572815533,0.11583355609017197,0.016794278502313843
XGBoostCalibrated,0.32,0.05618798955613577,0.4094368340943683,0.09881531821103866,0.013058477071939419
XGBoostCalibrated,0.34,0.047624020887728456,0.43263757115749524,0.08580299181484617,0.01006310475389146
XGBoostCalibrated,0.36,0.0395822454308094,0.4448356807511737,0.07269588568140405,0.007959612957509465
XGBoostCalibrated,0.38,0.03248041775456919,0.44942196531791906,0.06058244862179799,0.006411442995372318
XGBoostCalibrated,0.4,0.026318537859007833,0.45569620253164556,0.04976303317535545,0.0050652082456878415
XGBoostCalibrated,0.42,0.02266318537859008,0.4676724137931034,0.04323139754955673,0.0041564997896508206
XGBoostCalibrated,0.44,0.017859007832898174,0.47107438016528924,0.03441336284966794,0.003230963399242743
XGBoostCalibrated,0.46,0.01483028720626632,0.49477351916376305,0.028797404177651593,0.002440050483803113
XGBoostCalibrated,0.48,0.011801566579634465,0.4977973568281938,0.023056519077739236,0.0019183845183003787
XGBoostCalibrated,0.5,0.009503916449086162,0.5141242937853108,0.01866283839212469,0.001447202355910812
XGBoostCalibrated,0.52,0.00762402088772846,0.5069444444444444,0.015022121617450354,0.0011947833403449727
XGBoostCalibrated,0.54,0.006266318537859008,0.5309734513274337,0.012386457473162676,0.0008918805216659655
XGBoostCalibrated,0.56,0.005535248041775457,0.5824175824175825,0.010966273536105938,0.0006394615061001262
XGBoostCalibrated,0.58,0.004386422976501305,0.6,0.008709175738724729,0.0004711821623895667
XGBoostCalibrated,0.6,0.0035509138381201043,0.6415094339622641,0.007062733693394266,0.0003197307530500631
XGBoostCalibratedTuned,0.2,0.26851174934725847,0.2726116000424133,0.2705461433231611,0.11543962978544384
XGBoostCalibratedTuned,0.22,0.21608355091383813,0.29890205143022247,0.25083348487603807,0.08166596550273454
XGBoostCalibratedTuned,0.24,0.17315926892950392,0.3221919937815779,0.22525643638339787,0.05869583508624316
XGBoostCalibratedTuned,0.26,0.13650130548302872,0.3453104359313078,0.19565868263473055,0.041699621371476654
XGBoostCalibratedTuned,0.28,0.10840731070496083,0.36179853607528756,0.16682738669238187,0.03081194783340345
XGBoostCalibratedTuned,0.3,0.08490861618798956,0.3784916201117318,0.13870169751770026,0.022465292385359697
XGBoostCalibratedTuned,0.32,0.06527415143603134,0.3908692933083177,0.11186683372113836,0.0163904080774085
XGBoostCalibratedTuned,0.34,0.051801566579634466,0.4085667215815486,0.0919455000463435,0.012082456878418173
XGBoostCalibratedTuned,0.36,0.04073107049608355,0.4281009879253567,0.07438489414457372,0.008767353807320152
XGBoostCalibratedTuned,0.38,0.030391644908616188,0.44631901840490795,0.05690818421824582,0.006074884307951199
XGBoostCalibratedTuned,0.4,0.02318537859007833,0.46443514644351463,0.04416592062071024,0.004307951198990324
XGBoostCalibratedTuned,0.42,0.01629242819843342,0.48297213622291024,0.031521519498888664,0.002810265039966344
XGBoostCalibratedTuned,0.44,0.011906005221932114,0.5205479452054794,0.023279558913620584,0.001766933108960875
XGBoostCalibratedTuned,0.46,0.00762402088772846,0.5407407407407407,0.015036045314109165,0.001043331931005469
XGBoostCalibratedTuned,0.48,0.0050130548302872065,0.5161290322580645,0.00992966487381051,0.0007572570466975179
XGBoostCalibratedTuned,0.5,0.003968668407310705,0.6440677966101694,0.007888727423707702,0.000353386621792175
XGBoostCalibratedTuned,0.52,0.0021932114882506526,0.6176470588235294,0.004370902279113331,0.00021876314682372738
XGBoostCalibratedTuned,0.54,0.0012532637075718016,0.6666666666666666,0.002501824246846659,0.00010096760622633572
XGBoostCalibratedTuned,0.56,0.0006266318537859008,0.6666666666666666,0.0012520868113522537,5.048380311316786e-05
XGBoostCalibratedTuned,0.58,0.00010443864229765013,0.5,0.00020883366398663465,1.6827934371055954e-05
XGBoostCalibratedTuned,0.6,0.0,0.0,0.0,0.0
XGBoostRaw,0.2,0.7914360313315927,0.16883145817088113,0.2782959970620639,0.6277997475809844
XGBoostRaw,0.22,0.7119582245430809,0.18034391534391533,0.28778891820580477,0.5213798906184266
XGBoostRaw,0.24,0.6319582245430809,0.19154189484346806,0.2939804693193412,0.42978544383676903
XGBoostRaw,0.26,0.5604177545691906,0.20396062184043484,0.299074796566715,0.3524274295330248
XGBoostRaw,0.28,0.4950391644908616,0.21662629678716694,0.3013733468972533,0.2884476230542701
XGBoostRaw,0.3,0.4269451697127937,0.22646944767602903,0.2959530876710345,0.23496844762305427
XGBoostRaw,0.32,0.3747258485639687,0.24040201005025125,0.29289795918367345,0.19077829196466134
XGBoostRaw,0.34,0.32595300261096605,0.25417379265412493,0.285622769287087,0.1541102229701304
XGBoostRaw,0.36,0.28010443864229767,0.2669719291260203,0.27338056164313745,0.12392090870845604
XGBoostRaw,0.38,0.24031331592689295,0.28219278881530535,0.2595747081053641,0.0984938998737905
XGBoostRaw,0.4,0.20678851174934726,0.29882281919710235,0.24442935621257947,0.07818258308792596
XGBoostRaw,0.42,0.17785900783289818,0.31560415122312824,0.2275065125910093,0.06214556163230964
XGBoostRaw,0.44,0.15091383812010445,0.3365160689333954,0.20837839786574375,0.04794278502313841
XGBoostRaw,0.46,0.126266318537859,0.3511472553006099,0.18574281763711784,0.037593605384939
XGBoostRaw,0.48,0.10433420365535248,0.3682270549207519,0.16259765625,0.028843079511989902
XGBoostRaw,0.5,0.0843864229765013,0.37969924812030076,0.13808425190122192,0.022212873369793856
XGBoostRaw,0.52,0.06840731070496084,0.3919808497905446,0.11648586163969411,0.01709718132099285
XGBoostRaw,0.54,0.05629242819843342,0.4070996978851964,0.09890815671162492,0.013209928481278922
XGBoostRaw,0.56,0.04480417754569191,0.41569767441860467,0.08088997831620628,0.01014724442574674
XGBoostRaw,0.58,0.036971279373368145,0.4343558282208589,0.06814244465832531,0.007757677745056794
XGBoostRaw,0.6,0.028407310704960834,0.45182724252491696,0.05345386656185516,0.005553218342448464
